NCTID,Input,Phrase,Score,CUI,String,Preferred Name,Vocab,Semantic Type
NCT00097734,Contraindication,Contraindication,1000,C0522473,Contraindication ,Contraindication ,SNOMEDCT_US,Qualitative Concept
NCT00097734,other beta-lactam antibiotics,other beta-lactam antibiotics,923,C0026458,Monobactam,Monobactams,SNOMEDCT_US,"Antibiotic,Organic Chemical"
NCT00097734,advanced renal impairment,advanced renal impairment,901,C1565489,Renal insufficiency,Renal Insufficiency,"SNOMEDCT_US,SNOMEDCT_VET",Disease or Syndrome
NCT00097734,advanced renal impairment,advanced renal impairment,901,C0205179,Advanced phase ,Advanced phase ,SNOMEDCT_US,Qualitative Concept
NCT00097734,hemodialysis,hemodialysis,1000,C0019004,Hemodialysis ,Hemodialysis ,"LNC,SNOMEDCT_US",Therapeutic or Preventive Procedure
NCT00097734,Antibiotic therapy,Antibiotic therapy,1000,C0338237,Antibiotic therapy ,Antibiotic therapy ,SNOMEDCT_US,Therapeutic or Preventive Procedure
NCT00097734,in the two weeks,in the two weeks,861,C4082118,Two weeks ,Two weeks ,SNOMEDCT_US,Temporal Concept
NCT00097734,disease,disease,1000,C0012634,Disease ,Disease ,"LNC,SNOMEDCT_US",Disease or Syndrome
NCT00097734,hematologic/oncologic disease,hematologic/oncologic disease,913,C0018939,Blood diseases,Hematological Disease,"LNC,SNOMEDCT_US",Disease or Syndrome
NCT00097734,hematologic/oncologic disease,hematologic/oncologic disease,913,C1882062,Neoplastic disease ,Neoplastic disease ,"LNC,SNOMEDCT_US,SNOMEDCT_VET",Neoplastic Process
NCT00097734,leukemia,leukemia,1000,C0023418,Leukemia,leukemia,"LNC,SNOMEDCT_US",Neoplastic Process
NCT00097734,lymphoma,lymphoma,1000,C0024299,Lymphoma ,Lymphoma ,"LNC,SNOMEDCT_US,SNOMEDCT_VET",Neoplastic Process
NCT00097734,immunosuppressants,immunosuppressants,1000,C0021081,Immunosuppressive agent,Immunosuppressive Agents,"LNC,SNOMEDCT_US","Immunologic Factor,Pharmacologic Substance"
NCT00097734,Complications,Complications,1000,C0009566,Complication ,Complication ,"LNC,SNOMEDCT_US",Pathologic Function
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0012813,Diverticulitis ,Diverticulitis ,SNOMEDCT_US,Disease or Syndrome
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0227391,Sigmoid colon ,Sigmoid colon ,"LNC,SNOMEDCT_US","Body Part, Organ, or Organ Component"
NCT00097734,indication,indication,1000,C0392360,Indication of (contextual qualifier),Indication of (contextual qualifier),"LNC,SNOMEDCT_US",Idea or Concept
NCT00097734,surgery,surgery,1000,C1274039,General surgery,General surgery specialty,"LNC,SNOMEDCT_US",Biomedical Occupation or Discipline
