NCTID,Input,Phrase,Score,CUI,String,Preferred Name,Vocab,Semantic Type
NCT00594516,conditions,conditions,966,C0348080,Condition ,Condition ,"LNC,SNOMEDCT_US",Qualitative Concept
NCT00594516,Low Back Pain,Low Back Pain,1000,C0024031,Low back pain,Low Back Pain,SNOMEDCT_US,Sign or Symptom
NCT00594516,pain,pain,1000,C0030193,Pain ,Pain ,"LNC,SNOMEDCT_US",Sign or Symptom
NCT00594516,Surgery,Surgery,1000,C1274039,General surgery,General surgery specialty,"LNC,SNOMEDCT_US",Biomedical Occupation or Discipline
NCT00594516,expected surgery,expected surgery,861,C1274039,General surgery,General surgery specialty,"LNC,SNOMEDCT_US",Biomedical Occupation or Discipline
NCT00594516,expected surgery,expected surgery,861,C0679138,Expectations ,Expectations ,SNOMEDCT_US,Idea or Concept
NCT00594516,within 3 months,within 3 months,901,C1442461,3 months,3 Months,LNC,Temporal Concept
NCT00594516,scheduled surgery,scheduled surgery,1000,C3845500,Scheduled surgical procedure ,Scheduled surgical procedure ,LNC,Finding
NCT00594516,procedure,procedure,1000,C0184661,Procedure,Interventional procedure,"LNC,SNOMEDCT_US",Therapeutic or Preventive Procedure
NCT00594516,significant disease,significant disease,861,C0012634,Disease ,Disease ,"LNC,SNOMEDCT_US",Disease or Syndrome
NCT00594516,significant disease,significant disease,861,C0750502,Significant ,Significant ,SNOMEDCT_US,Idea or Concept
NCT00594516,malignancy,malignancy,1000,C1306459,Primary malignant neoplasm ,Primary malignant neoplasm ,SNOMEDCT_US,Neoplastic Process
NCT00594516,basal cell carcinoma,basal cell carcinoma,1000,C0007117,Basal cell carcinoma ,Basal cell carcinoma ,"SNOMEDCT_US,SNOMEDCT_VET",Neoplastic Process
NCT00594516,within the past 2 years,within the past 2 years,804,C0439234,year ,year ,SNOMEDCT_US,Temporal Concept
NCT00594516,within the past 2 years,within the past 2 years,804,C1444637,In the past ,In the past ,"LNC,SNOMEDCT_US",Temporal Concept
NCT00594516,Women,Women,1000,C0043210,Woman ,Woman ,SNOMEDCT_US,Population Group
NCT00594516,pregnant,pregnant,1000,C0549206,Patient currently pregnant ,Patient currently pregnant ,"LNC,SNOMEDCT_US,SNOMEDCT_VET",Finding
NCT00594516,breast-feeding,breast-feeding,1000,C0006147,"Breast feeding, NOS",Breast Feeding,SNOMEDCT_US,Organism Function
